Name,Model,Type,Price,Engine Type and Required Fuel,Cylinders Type,Cylinders,Engine Liters,Displacement (cu. In.),Fuel system,Horsepower,RPM,Combined Mpg,Weight
Ford Super Duty,Super Duty F-250 Pickup King Ranch 2WD Crew Cab 6.75' Box,Pickup Truck,61290,Regular Unleaded,V-8,8,6.2,379,Sequential MPI,385,5750,15,6695
Ram HD,"2500 Lone Star 4x4 Mega Cab 6'4"" Box",Pickup Truck,48570,Premium Unleaded,V-8,8,6.4,392,Sequential MPI,410,5600,15,7218
Volkswagen Golf,Golf 1.4T TSI Manual,Hatchback,24190,Intercooled Turbo Regular Unleaded,I-4,4,1.4,85,Gasoline Direct Injection,147,5000,33,2945
Volkswagen Golf GTI,Golf GTI 2.0T S DSG,Hatchback,30315,Intercooled Turbo Premium Unleaded,I-4,4,2,121,Gasoline Direct Injection,228,4700,27,3128
Honda Civic Type R,Civic Limited Edition Manual Type R,Hatchback,44950,Intercooled Turbo Premium Unleaded,I-4,4,2,122,Gasoline Direct Injection,306,6500,25,3075
Hyundai Veloster N,Veloster N Manual,Hatchback,28595,Intercooled Turbo Premium Unleaded,I-4,4,2,122,Gasoline Direct Injection,250,6000,25,3036
Mazda 3,Mazda3 Sedan Select FWD,Hatchback,23645,Regular Unleaded,I-4,4,2.5,152,Gasoline Direct Injection,186,6000,30,3071
Toyota Corolla,Corolla L CVT (Natl),Hatchback,21020,Regular Unleaded,I-4,4,1.8,110,Sequential MPI,139,6100,33,2910
Kia Rio,Rio 5-Door S IVT,Hatchback,17955,Regular Unleaded,I-4,4,1.6,98,MPI,120,6300,36,2762
Honda Fit,Fit LX CVT,Hatchback,17945,Regular Unleaded,I-4,4,1.5,91,Gasoline Direct Injection,128,6600,36,2568
Mini Cooper,Hardtop 2 Door Cooper S FWD,Hatchback,26750,Intercooled Turbo Premium Unleaded,I-4,4,2,122,Gasoline Direct Injection,189,4400,26,2760
Mercedes-Benz E-Class Wagon,E 450 E 450 4MATIC Wagon,Station Wagon,67095,Twin Turbo Premium Unleaded,V-6,6,3,183,Gasoline Direct Injection,362,5500,22,4299
Mercedes-AMG E63 S Wagon,AMG E 63 AMG E 63 S 4MATIC+ Wagon,Station Wagon,112745,Twin Turbo Premium Unleaded,V-8,8,4,243,Gasoline Direct Injection,603,5750,19,4669
Volvo V60 / V60 Cross Country,V60 T5 FWD Inscription,Station Wagon,47395,Intercooled Turbo Premium Unleaded,I-4,4,2,120,Gasoline Direct Injection,250,5500,27,3813
Volvo V90,V90 T6 AWD R-Design,Station Wagon,58445,Turbo/Supercharger Premium Unleaded,I-4,4,2,120,Gasoline Direct Injection,316,5700,25,4127
Volvo V90 Cross Country,V90 Cross Country T6 AWD,Station Wagon,55545,Turbo/Supercharger Premium Unleaded,I-4,4,2,120,Gasoline Direct Injection,316,5700,24,4370
Audi A4 Allroad,A4 allroad Premium 2.0 TFSI quattro,Station Wagon,45595,Intercooled Turbo Premium Unleaded,I-4,4,2,121,Gasoline Direct Injection,248,5000,26,3847
Porsche Panamera Sport Turismo,Panamera 4 Sport Turismo AWD,Station Wagon,99350,Intercooled Turbo Premium Unleaded,V-6,6,3,183,Gasoline Direct Injection,330,5400,22,4348
Jaguar XF Sportbrake,XF Sportbrake Prestige AWD,Station Wagon,66300,Intercooled Turbo Premium Unleaded,I-4,4,2,122,Gasoline Direct Injection,296,5500,24,3885
Subaru Outback,Outback Touring XT CVT,Station Wagon,40995,Intercooled Turbo Regular Unleaded,H-4,4,2.4,146,Gasoline Direct Injection,260,5600,26,3937
Buick Regal TourX,Regal TourX Preferred AWD,Station Wagon,33895,Turbocharged Gas,I-4,4,2,122,Direct Injection,250,5400,24,3783
Mini Cooper S Clubman,Clubman Cooper ALL4,Station Wagon,27750,Intercooled Turbo Premium Unleaded,I-3,3,1.5,91,Gasoline Direct Injection,134,4400,26,3370
BMW 2-Series,230i Coupe,Coupe,36895,Intercooled Turbo Premium Unleaded,I-4,4,2,122,Gasoline Direct Injection,248,5200,28,3386
Ford Mustang,Mustang EcoBoost Premium Fastback,Coupe,33370,Intercooled Turbo Premium Unleaded,I-4,4,2.3,140,Gasoline Direct Injection,310,5500,24,3532
Ford Mustang Shelby GT500,Mustang Shelby GT500 Fastback,Coupe,74095,Intercooled Supercharger Premium Unleaded,V-8,8,5.2,315,Sequential MPI,760,7300,14,4171
Chevrolet Camaro,Camaro 2dr Coupe 1LS,Coupe,25995,Turbocharged Gas,I-4,4,2,122,Direct Injection,275,5600,23,3351
Chevrolet Camaro ZL1,Camaro 2dr Coupe ZL1,Coupe,65695,Turbocharged Gas,V-8,8,6.2,376,Direct Injection,650,6400,16,3907
Audi A5,A5 Coupe Premium 2.0 TFSI quattro,Coupe,43895,Intercooled Turbo Premium Unleaded,I-4,4,2,121,Gasoline Direct Injection,248,5000,27,3638
BMW 8-Series,M850i xDrive Convertible,Coupe,122395,Twin Turbo Premium Unleaded,V-8,8,4.4,268,Gasoline Direct Injection,523,5500,20,4736
